symbol,ts,open,high,low,close,volume,count
ARB,2025-09-30 00:00:00+00:00,0.41745,0.41887,0.40969,0.41238,2452257.0,1051
ARB,2025-09-30 04:00:00+00:00,0.41206,0.41619,0.41014,0.41154,919324.9,784
ARB,2025-09-30 08:00:00+00:00,0.41135,0.41208,0.40636,0.41106,1577244.1,1366
ARB,2025-09-30 12:00:00+00:00,0.41077,0.41309,0.40296,0.41044,2912630.1,1412
ARB,2025-09-30 16:00:00+00:00,0.41039,0.42147,0.40476,0.42147,2814962.4,1886
ARB,2025-09-30 20:00:00+00:00,0.4214,0.42434,0.41762,0.42148,2263682.1,1833
ARB,2025-10-01 00:00:00+00:00,0.4216,0.42242,0.4161,0.41652,1365865.5,1785
ARB,2025-10-01 04:00:00+00:00,0.41652,0.42281,0.41615,0.4193,1536700.3,1134
ARB,2025-10-01 08:00:00+00:00,0.41936,0.4418,0.41895,0.4339,12699408.8,3352
ARB,2025-10-01 12:00:00+00:00,0.4339,0.43561,0.4298,0.43291,5478320.3,1836
ARB,2025-10-01 16:00:00+00:00,0.43353,0.43702,0.43,0.43614,3393040.2,1341
ARB,2025-10-01 20:00:00+00:00,0.43605,0.43662,0.43182,0.43488,2995469.4,1072
ARB,2025-10-02 00:00:00+00:00,0.43527,0.44343,0.43299,0.44239,1439083.2,1265
ARB,2025-10-02 04:00:00+00:00,0.44244,0.44627,0.43963,0.44121,2049547.6,1538
ARB,2025-10-02 08:00:00+00:00,0.44129,0.44355,0.43752,0.44142,3076969.6,1686
ARB,2025-10-02 12:00:00+00:00,0.44122,0.44474,0.43193,0.4429,6927237.6,2419
ARB,2025-10-02 16:00:00+00:00,0.44277,0.45688,0.44181,0.45561,4319966.4,1881
ARB,2025-10-02 20:00:00+00:00,0.45582,0.45669,0.44989,0.45296,2377676.5,1104
ARB,2025-10-03 00:00:00+00:00,0.45296,0.45315,0.44448,0.44668,1105681.0,1275
